species,taxonKeys,Kingdom,Phylum,Class,Order,Family,Genus
Vermivora cyanoptera,6093846,Animalia,Chordata,Aves,Passeriformes,Parulidae,Vermivora
Acleris semipurpurana,1739867,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Acleris
Acmaeodera mixta,6003363,Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,Acmaeodera
Acmaeodera neglecta,6003362,Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,Acmaeodera
Acmaeodera tubulus,6003251,Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,Acmaeodera
Acrolophus cressoni,5122691,Animalia,Arthropoda,Insecta,Lepidoptera,Acrolophidae,Acrolophus
Anacampsis fullonella,1848272,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Anacampsis
Apiomerus spissipes,2008768,Animalia,Arthropoda,Insecta,Hemiptera,Reduviidae,Apiomerus
Apoda y-inversa,5105344,Animalia,Arthropoda,Insecta,Lepidoptera,Limacodidae,Apoda
Atalantycha bilineata,6067035,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Atalantycha
Caloptilia triadicae,9942354,Animalia,Arthropoda,Insecta,Lepidoptera,Gracillariidae,Caloptilia
Chlorochlamys chloroleucaria,5806132,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Chlorochlamys
Clepsis virescana,1737403,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Clepsis
Cuerna costalis,2031659,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Cuerna
Cydia caryana,1737904,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Cydia
Dichromorpha viridis,1704465,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Dichromorpha
Dicymolomia julianalis,1884997,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Dicymolomia
Excultanus excultus,2049241,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Excultanus
Hyalymenus tarsatus,2050160,Animalia,Arthropoda,Insecta,Hemiptera,Alydidae,Hyalymenus
Lacinipolia laudabilis,1799900,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Lacinipolia
Liburniella ornata,2056850,Animalia,Arthropoda,Insecta,Hemiptera,Delphacidae,Liburniella
Meromacrus acutus,1534944,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Meromacrus
Norvellina seminudus,2043090,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Norvellina
Polistes annularis,1310936,Animalia,Arthropoda,Insecta,Hymenoptera,Eumenidae,Polistes
Polistes apachus,1310927,Animalia,Arthropoda,Insecta,Hymenoptera,Eumenidae,Polistes
Polistes dorsalis,1310908,Animalia,Arthropoda,Insecta,Hymenoptera,Eumenidae,Polistes
Pyrausta inornatalis,1890487,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Pyrausta
Sparedrus aspersus,1045448,Animalia,Arthropoda,Insecta,Coleoptera,Oedemeridae,Sparedrus
Sparganothis pulcherrimana,1739629,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Sparganothis
Sternidius mimeticus,1150698,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Sternidius
Xylobiops basilaris,6005710,Animalia,Arthropoda,Insecta,Coleoptera,Bostrichidae,Xylobiops
Xylophanes tersa,1862198,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Xylophanes
Maevia inclemens,2170439,Animalia,Arthropoda,NA,Araneae,Salticidae,Maevia
Myrmekiaphila comstocki,2140824,Animalia,Arthropoda,NA,Araneae,Euctenizidae,Myrmekiaphila
Anhinga anhinga,2482082,Animalia,Chordata,Aves,Suliformes,Anhingidae,Anhinga
Antrostomus carolinensis,6101173,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Antrostomus
Calidris pusilla,2481764,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris
Egretta tricolor,2480881,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta
Eudocimus albus,5229205,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Eudocimus
Platalea ajaja,2480803,Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Platalea
Spiza americana,2490363,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Spiza
Sternula antillarum,5789285,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sternula
Tadorna ferruginea,2498015,Animalia,Chordata,Aves,Anseriformes,Anatidae,Tadorna
Myocastor coypus,4264680,Animalia,Chordata,Mammalia,Rodentia,Myocastoridae,Myocastor
Agkistrodon piscivorus,9105722,Animalia,Chordata,Reptilia,Squamata,Viperidae,Agkistrodon
Graptemys pseudogeographica,9228211,Animalia,Chordata,Reptilia,Testudines,Emydidae,Graptemys
Pseudemys concinna,8898408,Animalia,Chordata,Reptilia,Testudines,Emydidae,Pseudemys
Sternotherus odoratus,5220393,Animalia,Chordata,Reptilia,Testudines,Kinosternidae,Sternotherus
Terrapene mexicana,8996950,Animalia,Chordata,Reptilia,Testudines,Emydidae,Terrapene
Limacus flavus,2295442,Animalia,Mollusca,Gastropoda,Stylommatophora,Limacidae,Limacus
Batyle suturalis,4292834,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Batyle
Chauliognathus basalis,6067166,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Chauliognathus
Eleodes suturalis,9742567,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Eleodes
Euphoria inda,4995934,Animalia,Arthropoda,Insecta,Coleoptera,Cetoniidae,Euphoria
Loxostege cereralis,1882195,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Loxostege
Mischocyttarus flavitarsis,1309964,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Mischocyttarus
Phymata americana,2008721,Animalia,Arthropoda,Insecta,Hemiptera,Reduviidae,Phymata
Tetraopes femoratus,5002773,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Tetraopes
Tyta luctuosa,1790692,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Tyta
Xanthogaleruca luteola,1047449,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Xanthogaleruca
Zonotrichia atricapilla,5231138,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Zonotrichia
Crotalus viridis,8945077,Animalia,Chordata,Reptilia,Squamata,Viperidae,Crotalus
Daktulosphaira vitifoliae,2049512,Animalia,Arthropoda,Insecta,Hemiptera,Phylloxeridae,Daktulosphaira
Leptinotarsa juncta,4990487,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Leptinotarsa
Lophocampa caryae,1817732,Animalia,Arthropoda,Insecta,Lepidoptera,Arctiidae,Lophocampa
Larinioides cornutus,2159204,Animalia,Arthropoda,NA,Araneae,Araneidae,Larinioides
Neogobius melanostomus,2379089,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Neogobius
Calidris himantopus,5229400,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris
Empidonax flaviventris,2482785,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax
Empidonax traillii,2482786,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax
Geothlypis philadelphia,5789148,Animalia,Chordata,Aves,Passeriformes,Parulidae,Geothlypis
Sterna hirundo,9367409,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna
Emydoidea blandingii,2442885,Animalia,Chordata,Reptilia,Testudines,Emydidae,Emydoidea
Papilio canadensis,1937739,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Papilio
Acanthis hornemanni,5231646,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Acanthis
Ammodramus leconteii,2491080,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Ammodramus
Bonasa umbellus,2473702,Animalia,Chordata,Aves,Galliformes,Phasianidae,Bonasa
Empidonax alnorum,2482809,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax
Picoides arcticus,2477774,Animalia,Chordata,Aves,Piciformes,Picidae,Picoides
Vireo philadelphicus,2487408,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo
Anthanassa texana,4299218,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Anthanassa
Asphondylia auripila,1592824,Animalia,Arthropoda,Insecta,Diptera,Cecidomyiidae,Asphondylia
Bombus sonorus,1340306,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus
Brephidium exilis,1932172,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Brephidium
Eusattus reticulatus,9726304,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Eusattus
Polistes flavus,1310816,Animalia,Arthropoda,Insecta,Hymenoptera,Eumenidae,Polistes
Sphex tepanecus,1347566,Animalia,Arthropoda,Insecta,Hymenoptera,Sphecidae,Sphex
Menemerus semilimbatus,2169069,Animalia,Arthropoda,NA,Araneae,Salticidae,Menemerus
Anaxyrus punctatus,2422890,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus
Amazona finschi,2479669,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona
Anser anser,2498036,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser
Auriparus flaviceps,2487397,Animalia,Chordata,Aves,Passeriformes,Remizidae,Auriparus
Calypte anna,2476674,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Calypte
Cardinalis sinuatus,2490405,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Cardinalis
Chordeiles acutipennis,2497052,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Chordeiles
Elanus leucurus,2480367,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Elanus
Empidonax hammondii,2482800,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax
Gallinula chloropus,5228199,Animalia,Chordata,Aves,Gruiformes,Rallidae,Gallinula
Icterus cucullatus,5229882,Animalia,Chordata,Aves,Passeriformes,Icteridae,Icterus
Limnodromus scolopaceus,2481670,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limnodromus
Melanerpes formicivorus,2478133,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes
Melanerpes lewis,2478142,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes
Molothrus aeneus,2484404,Animalia,Chordata,Aves,Passeriformes,Icteridae,Molothrus
Parabuteo unicinctus,2480410,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Parabuteo
Petrochelidon fulva,2489166,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Petrochelidon
Phainopepla nitens,2492885,Animalia,Chordata,Aves,Passeriformes,Ptilogonatidae,Phainopepla
Polioptila melanura,2487586,Animalia,Chordata,Aves,Passeriformes,Polioptilidae,Polioptila
Setophaga townsendi,6092651,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga
Vireo cassinii,9552291,Animalia,Chordata,Aves,Passeriformes,Vireonidae,Vireo
Ammospermophilus interpres,2437571,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ammospermophilus
Aspidoscelis tesselata,2472276,Animalia,Chordata,Reptilia,Squamata,Teiidae,Aspidoscelis
Cophosaurus texanus,2451472,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Cophosaurus
Phrynosoma cornutum,5222413,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Phrynosoma
Urosaurus ornatus,8538855,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Urosaurus
Acontia candefacta,9038042,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Acontia
Andricus quercusfoliatus,1309595,Animalia,Arthropoda,Insecta,Hymenoptera,Cynipidae,Andricus
Argia nahuana,5051489,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Argia
Automeris io,1866085,Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Automeris
Chlosyne lacinia,1914465,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Chlosyne
Cicindela scutellaris,1034775,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Cicindela
Cimbex americana,1249710,Animalia,Arthropoda,Insecta,Hymenoptera,Cimbicidae,Cimbex
Dasymutilla occidentalis,1312356,Animalia,Arthropoda,Insecta,Hymenoptera,Mutillidae,Dasymutilla
Enallagma signatum,5051305,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Enallagma
Epiaeschna heros,1425091,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Epiaeschna
Erynnis juvenalis,5977208,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Erynnis
Euphoria sepulcralis,4995949,Animalia,Arthropoda,Insecta,Coleoptera,Cetoniidae,Euphoria
Hippiscus ocelote,1703174,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Hippiscus
Ischnura hastata,4302729,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Ischnura
Isogona tenuis,1790945,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Isogona
Knulliana cincta,4292985,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Knulliana
Lestes australis,5715372,Animalia,Arthropoda,Insecta,Odonata,Lestidae,Lestes
Mermiria bivittata,1704540,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Mermiria
Metriorrhynchomiris dislocatus,2011050,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Metriorrhynchomiris
Pachypsylla celtidisasterisca,9543740,Animalia,Arthropoda,Insecta,Hemiptera,Aphalaridae,Pachypsylla
Pachypsylla celtidisvesicula,2014071,Animalia,Arthropoda,Insecta,Hemiptera,Aphalaridae,Pachypsylla
Platynota rostrana,1741826,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Platynota
Polystepha globosa,1598081,Animalia,Arthropoda,Insecta,Diptera,Cecidomyiidae,Polystepha
Polystepha quercifolia,1598119,Animalia,Arthropoda,Insecta,Diptera,Cecidomyiidae,Polystepha
Thorybes pylades,1946500,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Thorybes
Thyris sepulchralis,10689940,Animalia,Arthropoda,Insecta,Lepidoptera,Thyrididae,Thyris
Trichopoda lanipes,5059829,Animalia,Arthropoda,Insecta,Diptera,Tachinidae,Trichopoda
Eris militaris,5173576,Animalia,Arthropoda,NA,Araneae,Salticidae,Eris
Hentzia palmarum,5172698,Animalia,Arthropoda,NA,Araneae,Salticidae,Hentzia
Lithobates sphenocephalus,2427093,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates
Sigmodon hispidus,2438147,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Sigmodon
Sternotherus carinatus,5220394,Animalia,Chordata,Reptilia,Testudines,Kinosternidae,Sternotherus
Leptoglossus zonatus,5156103,Animalia,Arthropoda,Insecta,Hemiptera,Coreidae,Leptoglossus
Anaxyrus boreas,2422924,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus
Agelaius tricolor,2484445,Animalia,Chordata,Aves,Passeriformes,Icteridae,Agelaius
Aphelocoma californica,2482414,Animalia,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma
Callipepla californica,5228080,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Callipepla
Calypte costae,2476675,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Calypte
Columbina passerina,2495869,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columbina
Empidonax difficilis,9568685,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax
Melozone crissalis,7341600,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Melozone
Picoides nuttallii,2477733,Animalia,Chordata,Aves,Piciformes,Picidae,Picoides
Sphyrapicus ruber,2478597,Animalia,Chordata,Aves,Piciformes,Picidae,Sphyrapicus
Spilopelia chinensis,6101224,Animalia,Chordata,Aves,Columbiformes,Columbidae,Spilopelia
Spinus lawrencei,5231643,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus
Toxostoma redivivum,5231713,Animalia,Chordata,Aves,Passeriformes,Mimidae,Toxostoma
Tyto alba,2497921,Animalia,Chordata,Aves,Strigiformes,Tytonidae,Tyto
Sceloporus occidentalis,2451234,Animalia,Chordata,Reptilia,Squamata,Phrynosomatidae,Sceloporus
Alcis porcelaria,5143492,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Alcis
Andrena wilkella,1358128,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Andrena
Bombus borealis,1340373,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus
Bombus ternarius,1340516,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus
Celastrina lucia,4300000,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Celastrina
Ctenucha virginica,1814843,Animalia,Arthropoda,Insecta,Lepidoptera,Arctiidae,Ctenucha
Elasmostethus cruciatus,2079273,Animalia,Arthropoda,Insecta,Hemiptera,Acanthosomatidae,Elasmostethus
Elasmucha lateralis,2079259,Animalia,Arthropoda,Insecta,Hemiptera,Acanthosomatidae,Elasmucha
Halictus rubicundus,1353453,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Halictus
Meconema thalassinum,1690432,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Meconema
Otiorhynchus sulcatus,1195129,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Otiorhynchus
Phyllobius oblongus,5022592,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Phyllobius
Polydrusus formosus,4468015,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Polydrusus
Speranza pustularia,9282670,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Speranza
Stictoleptura canadensis,4292563,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Stictoleptura
Strophosoma melanogrammum,5752979,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Strophosoma
Sumitrosis inaequalis,1048635,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Sumitrosis
Misumena vatia,2165951,Animalia,Arthropoda,NA,Araneae,Thomisidae,Misumena
Neoscona arabesca,2158870,Animalia,Arthropoda,NA,Araneae,Araneidae,Neoscona
Anas penelope,2498111,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas
Arenaria interpres,2481776,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Arenaria
Calidris alba,2481748,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris
Calidris fuscicollis,2481756,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris
Chroicocephalus ridibundus,6065824,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chroicocephalus
Leucophaeus atricilla,6065844,Animalia,Chordata,Aves,Charadriiformes,Laridae,Leucophaeus
Limnodromus griseus,2481672,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limnodromus
Morus bassanus,2480964,Animalia,Chordata,Aves,Suliformes,Sulidae,Morus
Numenius phaeopus,2481784,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius
Perisoreus canadensis,2482436,Animalia,Chordata,Aves,Passeriformes,Corvidae,Perisoreus
Rynchops niger,2481209,Animalia,Chordata,Aves,Charadriiformes,Laridae,Rynchops
Somateria spectabilis,2498350,Animalia,Chordata,Aves,Anseriformes,Anatidae,Somateria
Uria aalge,2481342,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Uria
Uria lomvia,2481339,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Uria
Lepus americanus,2436794,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus
Phoca vitulina,2434793,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Phoca
Asterias rubens,7765831,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias
Lehmannia marginata,5781247,Animalia,Mollusca,Gastropoda,Stylommatophora,Limacidae,Lehmannia
Cercyonis pegala,1915492,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Cercyonis
Deidamia inscriptum,5124050,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Deidamia
Eutrapela clemataria,5148520,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Eutrapela
Lobophora nivigerata,5144424,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Lobophora
Pheosia rimosa,1825967,Animalia,Arthropoda,Insecta,Lepidoptera,Notodontidae,Pheosia
Phyllodesma americana,1732717,Animalia,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,Phyllodesma
Rhagonycha fulva,4429760,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Rhagonycha
Speyeria cybele,1905172,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Speyeria
Trichodezia albovittata,1978493,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Trichodezia
Trachelipus rathkii,2209087,Animalia,Arthropoda,Malacostraca,Isopoda,Trachelipodidae,Trachelipus
Oncorhynchus tshawytscha,5204024,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus
Pseudacris triseriata,2428141,Animalia,Chordata,Amphibia,Anura,Hylidae,Pseudacris
Bartramia longicauda,2481705,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Bartramia
Calidris alpina,2481759,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris
Dolichonyx oryzivorus,2484417,Animalia,Chordata,Aves,Passeriformes,Icteridae,Dolichonyx
Sula leucogaster,2480975,Animalia,Chordata,Aves,Suliformes,Sulidae,Sula
Mustela vison,5218823,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela
Storeria occipitomaculata,2457039,Animalia,Chordata,Reptilia,Squamata,Natricidae,Storeria
Cipangopaludina chinensis,9738098,Animalia,Mollusca,Gastropoda,Architaenioglossa,Viviparidae,Cipangopaludina
Allograpta exotica,1540979,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Allograpta
Conoderus bellus,6984247,Animalia,Arthropoda,Insecta,Coleoptera,Elateridae,Conoderus
Copelatus glyphicus,1038642,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Copelatus
Diaprepes abbreviatus,5010133,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Diaprepes
Eudiagogus pulcher,1230405,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Eudiagogus
Herpetogramma phaeopteralis,1882960,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Herpetogramma
Libellula deplanata,1427911,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Libellula
Megachile xylocopoides,1335381,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Megachile
Melanchroia chephise,1963433,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Melanchroia
Neoconocephalus triops,1691798,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Neoconocephalus
Neotibicen davisi,8582134,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Neotibicen
Pachodynerus erynnis,1328209,Animalia,Arthropoda,Insecta,Hymenoptera,Eumenidae,Pachodynerus
Plecia nearctica,1590174,Animalia,Arthropoda,Insecta,Diptera,Bibionidae,Plecia
Sibovia occatoria,2038526,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Sibovia
Sphex habenus,1347470,Animalia,Arthropoda,Insecta,Hymenoptera,Sphecidae,Sphex
Spilosoma virginica,1811948,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Spilosoma
Taxodiomyia cupressiananassa,1595940,Animalia,Arthropoda,Insecta,Diptera,Cecidomyiidae,Taxodiomyia
Taylorilygus apicalis,2010931,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Taylorilygus
Xylocopa strandi,1342360,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Xylocopa
Zethus spinipes,5037977,Animalia,Arthropoda,Insecta,Hymenoptera,Eumenidae,Zethus
Latrodectus geometricus,2157944,Animalia,Arthropoda,NA,Araneae,Theridiidae,Latrodectus
Leucauge argyrobapta,2151576,Animalia,Arthropoda,NA,Araneae,Tetragnathidae,Leucauge
Menemerus bivittatus,2169064,Animalia,Arthropoda,NA,Araneae,Salticidae,Menemerus
Messua limbata,2171341,Animalia,Arthropoda,NA,Araneae,Salticidae,Messua
Trichonephila clavipes,10886629,Animalia,Arthropoda,NA,Araneae,Araneidae,Trichonephila
Dryophytes squirellus,10843277,Animalia,Chordata,Amphibia,Anura,Hylidae,Dryophytes
Anas fulvigula,2498080,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas
Cistothorus platensis,2493890,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Cistothorus
Geothlypis formosa,6093586,Animalia,Chordata,Aves,Passeriformes,Parulidae,Geothlypis
Lonchura punctulata,2493598,Animalia,Chordata,Aves,Passeriformes,Estrildidae,Lonchura
Pelecanus occidentalis,5229158,Animalia,Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus
Phalaropus fulicarius,5229390,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Phalaropus
Pycnonotus cafer,2486131,Animalia,Chordata,Aves,Passeriformes,Pycnonotidae,Pycnonotus
Setophaga cerulea,6093350,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga
Vermivora chrysoptera,5230811,Animalia,Chordata,Aves,Passeriformes,Parulidae,Vermivora
Sylvilagus aquaticus,2436883,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus
Alligator mississippiensis,2441370,Animalia,Chordata,Reptilia,Crocodylia,Alligatoridae,Alligator
Anolis sagrei,4287413,Animalia,Chordata,Reptilia,Squamata,Dactyloidae,Anolis
Heterodon platirhinos,5223730,Animalia,Chordata,Reptilia,Squamata,Dipsadidae,Heterodon
Nerodia fasciata,5223349,Animalia,Chordata,Reptilia,Squamata,Natricidae,Nerodia
Euglandina rosea,2294109,Animalia,Mollusca,Gastropoda,Stylommatophora,Spiraxidae,Euglandina
Pomacea maculata,7532642,Animalia,Mollusca,Gastropoda,Architaenioglossa,Ampullariidae,Pomacea
Anopheles punctipennis,1650410,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Anopheles
Culex pipiens,1652991,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex
Culex restuans,1652927,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex
Rhopalomyia solidaginis,5081288,Animalia,Arthropoda,Insecta,Diptera,Cecidomyiidae,Rhopalomyia
Oporornis agilis,2489611,Animalia,Chordata,Aves,Passeriformes,Parulidae,Oporornis
Pantherophis spiloides,7576179,Animalia,Chordata,Reptilia,Squamata,Colubridae,Pantherophis
Anartia jatrophae,5128007,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Anartia
Camponotus floridanus,5034679,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Camponotus
Romalea microptera,1714599,Animalia,Arthropoda,Insecta,Orthoptera,Romaleidae,Romalea
Anaxyrus terrestris,2422916,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus
Osteopilus septentrionalis,2428083,Animalia,Chordata,Amphibia,Anura,Hylidae,Osteopilus
Calidris mauri,2481742,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris
Egretta rufescens,2480888,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Egretta
Elanoides forficatus,2480461,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Elanoides
Mycteria americana,2481937,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Mycteria
Quiscalus major,2484133,Animalia,Chordata,Aves,Passeriformes,Icteridae,Quiscalus
