"species","taxonKeys","Kingdom","Phylum","Class","Order","Family","Genus","fileName","AUCtest","AUCdiff","CBItest","threshold","nobs","nthin","importantVars","importantValue","percentContribution","Features","Regularization","AUCtrain"
"Lithobates pipiens",2427185,"Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates_pipiens.csv",0.751358605872949,0.131732085726386,0.81625,0.55404415,4296,4290,"AHM;DD18;EMT;EXT;Eref;MCMT;MSP;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","10.9998;12.6433;0.2377;1.1554;1.2145;2.4341;12.5183;38.6254;1.8285;0.6894;5.9154;3.1525;0.2231;8.3628","1.2066;39.1275;3.3799;0.6171;0.1376;0.6123;0.7531;20.5591;23.611;0.6453;2.5293;1.3268;4.9948;0.4996","LQHP",0.5,0.82234249311528
"Lithobates sphenocephalus",2427093,"Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates_sphenocephalus.csv",0.637061109466349,0.127052755310907,0.80175,0.60096093,3321,3272,"AHM;CMD;DD_0;EXT;Eref;MAP;MSP;MWMT;NFFD;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM","0;0.3088;0;0.1357;0;0.0516;0;0.0847;0.0668;38.2542;12.187;3.3975;19.8855;25.6282;0","0;0.0459;6.8864;0.0166;0;0.0095;0;0.0854;0.3816;26.3486;45.6922;0.5633;9.582;10.3886;0","LQHP",3,0.753739851261355
"Lithobates sylvaticus",2427072,"Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates_sylvaticus.csv",0.753559811714779,0.142704943153831,0.68025,0.54155436,5533,5509,"AHM;CMD;DD18;EMT;EXT;MSP;PAS;PPT_sp;PPT_wt;RH;SHM;bFFP","1.5292;0.8118;0.6079;30.1385;9.5191;31.0884;6.8158;7.9366;2.8715;1.5719;5.7219;1.3875","0.3361;1.6854;45.2518;22.1682;12.1304;0.9791;5.5774;5.8167;4.9558;0.4748;0.2406;0.3839","H",0.5,0.837417579712278
"Lobocleta ossularia",1990335,"Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Lobocleta","Lobocleta_ossularia.csv",0.715894010785856,0.146904195980399,0.66125,0.487536,402,399,"DD18;EXT;Eref;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","5.7215;16.5515;6.731;0.9515;1.9459;5.0971;16.6201;9.762;11.5282;11.0809;11.3356;2.6748","12.8521;6.2685;1.0488;0.0991;0.4393;20.2507;4.561;3.2368;25.2308;1.7426;24.0714;0.199","H",1,0.775932544101203
"Lobophora nivigerata",5144424,"Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Lobophora","Lobophora_nivigerata.csv",0.683180980813579,0.116097196040251,0.60125,0.57222174,279,278,"AHM;CMD;DD18;EXT;Eref;MCMT;MWMT;PAS;PPT_at;PPT_sm;PPT_sp;PPT_wt;RH;SHM;Tave_at;bFFP","0;0;13.4374;0;27.122;25.4831;29.3233;0;3.9647;0.2801;0;0;0;0;0.1713;0.2181","0;5.0204;16.5408;0;7.2306;45.917;13.301;0;4.9378;0.722;0;1.9903;4.0962;0;0.2308;0.013","Q",3,0.685849372450092
"Lonchura punctulata",2493598,"Animalia","Chordata","Aves","Passeriformes","Estrildidae","Lonchura","Lonchura_punctulata.csv",0.881510460955309,0.0288598199787588,0.9015,0.53372212,1269,888,"AHM;DD18;DD_0;EXT;Eref;MCMT;MWMT;NFFD;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","0;0.1;0.0585;0.4986;21.9202;6.2006;0;24.2141;0;2.4325;0.0082;9.2;9.7978;6.3002;19.2695","0;0.0564;0.7952;0.0315;3.5272;7.0891;0.0019;53.8434;0;0.5066;2e-04;12.4258;4.1066;16.9675;0.6486","H",2.5,0.929447304447305
"Lontra canadensis",2433727,"Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Lontra","Lontra_canadensis.csv",0.709500498456183,0.131221113097171,0.6295,0.57861726,2912,2767,"AHM;CMD;CMI;DD_0;EXT;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","0;0.035;0.9859;9.4907;1.8752;0.9683;2.9907;11.4652;13.2151;8.2304;21.9749;0.7894;0.4915;27.4878","3.2809;0.0098;0.4277;12.7084;3.0672;3.2065;3.553;3.1854;0.7814;1.9822;31.4091;3.5129;0.0736;32.8019","LQH",1.5,0.795002127730162
"Lophocampa argentata",1817727,"Animalia","Arthropoda","Insecta","Lepidoptera","Arctiidae","Lophocampa","Lophocampa_argentata.csv",0.899167693642509,0.118871805131922,0.88275,0.36131512,557,531,"AHM;CMD;DD18;DD_0;EXT;MCMT;PAS;PPT_at;PPT_sm;PPT_sp;RH;SHM;Tave_sp","0.0228;39.2112;4.0646;0;1.7828;28.6807;2.3024;11.5897;0.9065;0.9564;3.9002;6.5828;0","1.2019;17.7745;0.7228;0.0471;1.2649;20.5438;5.4901;8.7467;0.1596;33.379;2.8764;7.7934;0","H",3,0.916029688711643
"Lophocampa caryae",1817732,"Animalia","Arthropoda","Insecta","Lepidoptera","Arctiidae","Lophocampa","Lophocampa_caryae.csv",0.68893695687706,0.0860153903075286,0.9355,0.60316003,3430,3407,"AHM;CMI;DD18;DD_0;EXT;Eref;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","0;0;7.4008;14.6563;5.3256;13.1945;1.4853;3.6563;9.0022;5.7925;5.9879;33.4985;0;0;0","0;0;4.118;13.7367;1.1943;2.7243;0.4939;2.7809;39.7567;1.1189;0.0807;33.912;0;0.0684;0.0153","LQHP",1,0.786940839643996
"Lophocampa maculata",1817729,"Animalia","Arthropoda","Insecta","Lepidoptera","Arctiidae","Lophocampa","Lophocampa_maculata.csv",0.794843160783757,0.0987311604013354,0.912,0.45951242,2308,2257,"AHM;CMD;DD18;EXT;Eref;MCMT;PAS;PPT_at;PPT_sm;PPT_sp;PPT_wt;RH;SHM;Tave_at;bFFP","0.4926;4.7442;21.0119;1.9772;0.2629;0.8388;11.0714;0.7421;12.0074;0.9741;0.6057;0.9833;10.5355;19.1212;14.6317","4.4084;9.2617;19.6149;3.7508;2.2581;4.1235;9.44;4.0153;0.656;0.8572;4.3374;8.7507;0.1709;7.8273;20.5279","P",0.5,0.810710510096625
"Lophodytes cucullatus",2498408,"Animalia","Chordata","Aves","Anseriformes","Anatidae","Lophodytes","Lophodytes_cucullatus.csv",0.758243842239523,0.0928964928291522,0.93125,0.53261237,54378,53549,"AHM;CMD;CMI;DD_0;EXT;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","1.4511;39.3555;0;33.5204;4.7685;3.0337;1.4611;1.7357;0;6.0929;2.1284;1.0209;0;5.4319","1.2417;17.3043;0.0012;27.1204;11.271;2.1916;3.0229;0.0551;0;0.5352;0.7663;2.0148;0;34.4756","P",2.5,0.773148115413014
"Loxia curvirostra",9629160,"Animalia","Chordata","Aves","Passeriformes","Fringillidae","Loxia","Loxia_curvirostra.csv",0.829938241287262,0.0656224432956574,0.92375,0.54925796,25765,25215,"AHM;CMD;CMI;DD1040;DD_0;EMT;EXT;MSP;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","7.1678;3.3203;0;24.9088;35.8228;4.6186;0.5565;3.4783;11.1776;0.7988;2.4035;0.9341;3.0682;0.932;0.8127","1.1588;9.3234;0;22.7383;17.1445;0.8119;17.5271;0.6311;9.3625;0.3366;0.1502;1.7782;2.1635;0.1783;16.6956","P",0.5,0.823346479010667
"Loxia leucoptera",8144830,"Animalia","Chordata","Aves","Passeriformes","Fringillidae","Loxia","Loxia_leucoptera.csv",0.741703589204691,0.0998672294398469,0.955,0.60379113,17164,16878,"AHM;CMD;DD18;EXT;MCMT;PAS;PPT_at;PPT_sm;PPT_sp;RH;SHM;Tave_at;bFFP","0;24.2244;25.5467;4.4344;23.6706;0;0;0;2.0355;0;0;20.0498;0.0385","0;37.9114;20.698;2.4521;36.0262;0;0;0;0.3758;0;0;2.5354;0.0011","LQ",3,0.725502496361043
"Loxosceles reclusa",5170704,"Animalia","Arthropoda","Arachnida","Araneae","Sicariidae","Loxosceles","Loxosceles_reclusa.csv",0.78452288214676,0.064598759084825,0.8765,0.51970215,559,559,"AHM;DD18;DD_0;EXT;Eref;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;bFFP","8.5145;13.6449;5.7012;10.2713;9.83;0.2698;0.1719;7.6231;2.316;14.9047;8.9796;8.9111;8.8617","10.6349;7.7587;2.5161;10.6677;6.1391;1.531;13.1853;1.1329;1.4569;25.1708;8.8822;5.5335;5.3909","P",0.5,0.769238507512962
"Loxostege cereralis",1882195,"Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Loxostege","Loxostege_cereralis.csv",0.719826355754565,0.285239287588256,0.56275,0.73249452,231,228,"AHM;CMI;DD_0;EMT;EXT;PAS;PPT_at;PPT_sm;PPT_sp;RH;SHM;bFFP","1.9293;0;24.2085;19.2447;0.9594;1.2539;3.5618;26.0286;0.179;5.8872;8.5549;8.1928","1.5352;0;9.7404;5.3228;0.0601;25.2565;2.5272;41.8748;0.1344;1.1473;11.7812;0.6202","LQ",3,0.705091533180778
"Lucanus capreolus",7711888,"Animalia","Arthropoda","Insecta","Coleoptera","Lucanidae","Lucanus","Lucanus_capreolus.csv",0.798874071231895,0.0735092680357517,0.934,0.63238258,1259,1252,"AHM;CMD;DD_0;EXT;MSP;MWMT;NFFD;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM","11.1716;0.0723;6.838;19.9388;0.1302;27.0842;1.6217;0;2.9738;10.261;1.0357;5.3014;13.5714","0.4993;0.0032;13.7456;23.9611;0.4406;30.3817;0.0697;7.892;2.6093;3.2425;9.4442;1.923;5.7877","H",2,0.80049768634223
"Lucanus elaphus",7831408,"Animalia","Arthropoda","Insecta","Coleoptera","Lucanidae","Lucanus","Lucanus_elaphus.csv",0.812639420471623,0.101039071081993,0.85675,0.64878433,325,325,"AHM;CMD;EXT;Eref;MSP;MWMT;NFFD;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM","0;13.6775;3.8211;0;13.3636;11.6671;15.7707;5.9526;1.8307;19.3229;13.3446;1.2492;0","0;4.1719;11.4807;0;9.9595;0.5754;16.8971;29.9682;0.2257;14.3366;6.7003;5.6847;0","Q",2.5,0.747249906797564
"Lucanus mazama",8303736,"Animalia","Arthropoda","Insecta","Coleoptera","Lucanidae","Lucanus","Lucanus_mazama.csv",0.708082216288583,0.0961697157484447,0.71125,0.56418885,79,79,"AHM;CMD;DD_0;EXT;MCMT;MSP;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM","19.6539;0.0957;40.4893;9.9351;25.3952;0.2746;4.1521;0.0042;0;0;0;0","31.6441;0.001;20.6516;2.8965;8.9555;1.0696;32.3259;0.0948;2.3481;0;0.0129;0","L",1,0.762784371366518
"Lucanus placidus",7886486,"Animalia","Arthropoda","Insecta","Coleoptera","Lucanidae","Lucanus","Lucanus_placidus.csv",0.735731508672954,0.133666994550698,0.804,0.56252086,177,177,"AHM;CMD;DD_0;EXT;MSP;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","6.5448;22.0266;16.7239;1.2223;7.8889;0.1361;12.7146;7.4862;2.0482;3.9476;11.952;7.309","0.9604;14.4456;1.1044;0.8234;5.6891;21.4532;2.3976;14.5191;5.2317;7.3404;10.8623;15.1729","LQHP",1,0.813872367067662
"Lucidota atra",1162734,"Animalia","Arthropoda","Insecta","Coleoptera","Lampyridae","Lucidota","Lucidota_atra.csv",0.750586763330972,0.042821861186866,0.95,0.59173794,838,836,"AHM;CMD;CMI;DD_0;EXT;MAP;MSP;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","2.1793;2.493;13.0535;7.0427;4.8355;2.1574;9.8282;6.59;3.7538;11.3883;5.0485;5.5166;13.6489;12.4642","1.0309;9.7958;0.4947;6.8266;11.811;0.1908;1.8238;10.8073;0.8339;7.8793;6.5302;22.1642;2.4538;17.3577","P",1,0.753464064976288
"Lucilia sericata",5063973,"Animalia","Arthropoda","Insecta","Diptera","Calliphoridae","Lucilia","Lucilia_sericata.csv",0.747532886714002,0.0934421037090802,0.9205,0.56555928,1051,1032,"AHM;CMD;CMI;DD18;DD_0;EXT;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;Tave_at;bFFP","10.1067;15.123;0;14.5033;2.306;1.2652;0.4922;0.0487;13.8775;0;9.3505;7.3922;3.4149;4.06;0;18.0598","1.3475;3.3326;0;14.3283;0.5055;1.4281;6.4066;5.1678;3.1024;0.0495;4.0341;17.1404;18.8296;1.7733;11.9599;10.5942","LQHP",1.5,0.80385888394812
"Luridiblatta trivittata",4514014,"Animalia","Arthropoda","Insecta","Blattodea","Ectobiidae","Luridiblatta","Luridiblatta_trivittata.csv",0.901050317626832,0.0275362405814257,0.8975,0.50895156,85,81,"AHM;CMD;CMI;DD1040;EXT;MCMT;PAS;PPT_at;PPT_sm;RH;Tave_at;bFFP","6.588;0.2125;0;0.8737;25.0059;5.7851;0.8973;0;0.4486;8.0992;9.6812;42.4085","1.6837;2.0817;0.8606;0.2546;55.7835;2.8256;3.3292;1.0189;0.3542;2.2285;7.9201;21.6595","LQHP",0.5,0.952118785452119
"Lycaeides melissa",1926834,"Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Lycaeides","Lycaeides_melissa.csv",0.641929770361818,0.110670697851064,0.6275,0.59386261,670,670,"AHM;CMD;DD18;DD_0;EXT;MSP;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;eFFP","8.27;13.4574;10.5761;8.0302;13.9965;3.802;14.0999;10.9161;2.3632;1.3477;2.9535;8.601;1.5862","5.2983;30.5942;9.3541;9.1559;7.6797;6.9719;14.1305;3.3541;5.8449;0.8995;2.5214;2.332;1.8636","LQHP",1.5,0.722682892437327
"Lycaena gorgon",5139432,"Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Lycaena","Lycaena_gorgon.csv",0.791433849064398,0.106598396410723,0.87775,0.64911218,129,129,"AHM;CMD;DD_0;MWMT;PAS;PPT_at;PPT_sm;RH;SHM;Tave_sp;bFFP","1.8442;0;0;0.0617;2.8897;0;3.8953;0.3049;0.5808;35.9417;54.4816","14.2844;9.5069;0;0.0018;0.4464;0;4.9432;13.5321;9.3575;11.464;36.4636","Q",2.5,0.814674091057976
"Lycaena helloides",5714572,"Animalia","Arthropoda","Insecta","Lepidoptera","Riodinidae","Fabricius","Lycaena_helloides.csv",0.599424073687334,0.127862573189556,0.32625,0.59940149,531,527,"AHM;CMD;DD18;DD_0;EXT;Eref;PAS;PPT_at;PPT_sm;PPT_wt;RH;SHM;Tave_sp;eFFP","11.8794;1.1498;9.3802;0;6.9257;0;8.0147;0;23.718;0.0688;1.1109;0.1968;27.9133;9.6424","12.059;0.1011;12.6066;3.3233;3.7923;6e-04;5.8883;0;34.8721;19.3447;0.8003;0.0679;6.1922;0.9516","L",1,0.699991128072236
"Lycaena mariposa",5139700,"Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Lycaena","Lycaena_mariposa.csv",0.808370571686272,0.0793504493500816,0.88525,0.4067742,285,283,"AHM;CMD;DD18;DD_0;EMT;EXT;PAS;PPT_at;PPT_sm;PPT_sp;RH;SHM;Tave_sp;bFFP","14.9754;1.9399;11.881;32.5409;0.0325;0;2.5257;4.8764;6.3439;1.1793;1.3235;2.4596;19.9219;0","9.7301;13.9977;16.41;5.1447;13.7767;3.5263;14.0267;1.0135;10.3106;4.1682;0.5125;1.9233;0.6078;4.8518","P",2,0.817587298104042
"Lycaena phlaeas",1929697,"Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Lycaena","Lycaena_phlaeas.csv",0.806524574659304,0.102118504517537,0.89575,0.4558532,1060,1032,"AHM;CMD;CMI;DD18;DD_0;EXT;MSP;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP;eFFP","20.413;6.1469;0;26.1545;10.3796;2.02;10.4564;8.5585;5.1284;7.6236;0.2372;1.1234;0;1.2917;0.4668","15.4939;5.5776;0.0104;19.3535;7.9689;5.1509;3.9229;16.2784;12.6349;5.9322;0.2251;3.7381;0.9409;0.4689;2.3036","P",0.5,0.829179719301972
"Lycia ypsilon",5147703,"Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Lycia","Lycia_ypsilon.csv",0.766457749526249,0.23946861271566,0.8175,0.59584439,176,174,"CMD;DD_0;EXT;MAP;MSP;MWMT;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","6.0117;9.6975;21.1725;0;0;7.6067;3.1863;0.7807;4.4716;0;18.7806;28.2924","6.3514;0.9573;3.2383;0;3.6779;2.5305;4.9307;0.3271;4.1499;0.2329;21.324;52.2801","L",1,0.779963329902213
"Lycomorpha pholus",1804512,"Animalia","Arthropoda","Insecta","Lepidoptera","Arctiidae","Lycomorpha","Lycomorpha_pholus.csv",0.633437838325514,0.186199111546459,0.50375,0.60134049,562,560,"CMD;DD_0;EXT;MSP;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","14.1607;13.3716;11.3601;7.2029;10.1652;18.7752;4.5141;1.7486;0;0;18.7015","0.9371;4.5955;3.6871;6.1568;4.0848;62.5804;1.6856;0.2412;8.6426;0;7.3888","L",3,0.671260183049517
"Lycorma delicatula",5157899,"Animalia","Arthropoda","Insecta","Hemiptera","Fulgoridae","Lycorma","Lycorma_delicatula.csv",0.793978613808407,0.0710228179633236,0.9275,0.53719725,650,648,"EXT;Eref;MWMT;NFFD;PAS;PPT_at;PPT_sm;PPT_sp;RH;SHM","0;6.7895;32.5394;0;12.962;23.8259;23.3931;0;0;0.49","0.1427;8.91;9.1641;3.7541;14.1077;45.877;17.5846;0;0.0024;0.4575","H",2.5,0.9373196936914
"Lygaeus kalmii",2007859,"Animalia","Arthropoda","Insecta","Hemiptera","Lygaeidae","Lygaeus","Lygaeus_kalmii.csv",0.826895553659858,0.0771526716723258,0.87025,0.56745112,3147,3126,"AHM;CMD;DD18;DD_0;EXT;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;Tave_sp;bFFP","8.4137;14.8424;10.3013;12.2149;1.2484;8.8628;1.6485;12.2694;5.5869;6.2739;5.3072;1.3027;2.8074;7.5162;1.4043","9.3228;8.0716;15.0233;7.8891;1.9874;3.0172;1.3816;15.0251;0.7028;3.6683;17.4256;1.4265;8.6208;0.8552;5.5826","P",0.5,0.805441436734808
"Lygaeus turcicus",2007853,"Animalia","Arthropoda","Insecta","Hemiptera","Lygaeidae","Lygaeus","Lygaeus_turcicus.csv",0.789760217638446,0.0579021172691516,0.89875,0.54144871,737,733,"AHM;CMD;DD_0;EXT;MAP;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","0;0;12.5442;10.5671;3.0311;0;4.5179;10.9366;0.2448;14.7321;2.4423;14.7556;2.1584;24.0701","0;1.5329;15.3522;2.0625;0.1414;0;0.2074;6.5633;1.3186;9.2642;0.4116;40.2304;1.6843;21.2312","LQ",1,0.765237279098367
"Lygus lineolaris",5152838,"Animalia","Arthropoda","Insecta","Hemiptera","Miridae","Lygus","Lygus_lineolaris.csv",0.742955362319475,0.0644749061954427,0.86475,0.58659719,863,861,"AHM;CMD;CMI;DD_0;EXT;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","0;0;10.5376;0.7421;0;2.8361;26.5174;0;0;9.8814;0;25.2187;0;24.2667","0;0;0.6545;1.5465;0;1.0382;11.1402;0.5491;0;1.2783;1.9668;68.3497;0;13.4767","L",1.5,0.73640923407831
"Lymantria dispar",1820406,"Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Lymantria","Lymantria_dispar.csv",0.756883524070389,0.0721923083804251,0.9565,0.5799445,2940,2922,"AHM;CMD;CMI;DD_0;EXT;Eref;MSP;NFFD;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM","3.8288;2.202;1.6651;20.7909;0.8554;14.0461;8.4752;9.9104;15.4946;1.0501;0;3.7714;0.3131;17.5968","2.917;5.8475;0.9548;13.1335;0.3464;8.0154;2.2915;5.2527;21.2245;0.1309;0;15.4261;4.7563;19.7033","P",1.5,0.779363109262915
"Lymire edwardsi",1804331,"Animalia","Arthropoda","Insecta","Lepidoptera","Arctiidae","Lymire","Lymire_edwardsi.csv",0.805953731516101,0.0979958210132217,0.7785,0.60672714,106,91,"AHM;CMI;DD_0;EXT;MSP;MWMT;NFFD;PAS;PPT_at;PPT_sm;PPT_sp;PPT_wt;Tave_sp;eFFP","0;48.6413;0;6.0462;0;35.9375;0;0;0;0;0;9.375;0;0","0;17.0427;0;15.946;0;15.5091;0;0;0;0;0;0.2865;0;51.2157","H",2.5,0.896857528436476
"Lynx rufus",2435246,"Animalia","Chordata","Mammalia","Carnivora","Felidae","Lynx","Lynx_rufus.csv",0.652208039178197,0.185793639280894,0.48025,0.66468809,4360,4288,"AHM;CMD;DD_0;EXT;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;Tave_sp;bFFP","0.3709;1.4085;2.5769;1.1724;0;0;0;0;0.5625;0;8.6022;1.3806;17.4656;66.4604","0.2499;3.5294;4.6913;0.4778;0;0.0014;0;0;0.4106;0;14.0698;11.5618;9.6463;55.3617","Q",2,0.670371174329348
"Lyssomanes viridis",2168060,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Lyssomanes","Lyssomanes_viridis.csv",0.646957820753166,0.14720006059861,0.60175,0.55089964,986,963,"AHM;CMD;EMT;EXT;Eref;MAP;MSP;MWMT;NFFD;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM","0;35.5002;0;0;0;0;0;0;0.1431;26.8616;0;27.4985;0;9.9966;0","0;23.4577;0;0;0;0;14.6443;0;3.9577;21.3619;0;10.1194;0;26.459;0","L",3,0.731446299984679
"Lytta magister",1046562,"Animalia","Arthropoda","Insecta","Coleoptera","Meloidae","Lytta","Lytta_magister.csv",0.781149697549357,0.059451915198575,0.86825,0.48357986,338,338,"AHM;CMD;DD_0;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","7.5426;0;0;37.1669;7.3657;0;0;4.061;0;4.5645;0;39.2994","3.7039;3.6071;0;24.9044;3.236;0;0;1.0597;0;0.2674;0;63.2215","Q",3,0.778428093645485
"Macromia illinoiensis",1429930,"Animalia","Arthropoda","Insecta","Odonata","Corduliidae","Macromia","Macromia_illinoiensis.csv",0.606804400239192,0.0866191321916137,0.6165,0.64699743,733,733,"CMD;DD_0;EXT;MSP;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","9.5022;37.4099;1.25;14.9392;0;0;36.5333;0;0.3655;0;0","15.0457;30.9112;1.2979;13.3037;0;0;32.5378;3.8691;0.1145;0;2.92","Q",3,0.61115592404554
"Macrostemum zebratum",1439372,"Animalia","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Macrostemum","Macrostemum_zebratum.csv",0.776550456321451,0.0910314326868482,0.8975,0.64411846,198,198,"AHM;CMD;DD_0;EXT;MSP;NFFD;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM","15.5008;0;13.5271;16.588;0;20.4863;0.7353;0.7205;22.0291;0;1.335;9.078","4.5251;0.272;9.066;22.5335;13.8997;22.9724;5.4935;6.5396;10.5998;0;0.4398;3.6585","L",1.5,0.736117465089428
"Maevia inclemens",2170439,"Animalia","Arthropoda","Arachnida","Araneae","Salticidae","Maevia","Maevia_inclemens.csv",0.602386428469231,0.201237678073235,0.51075,0.61100121,765,761,"CMD;DD_0;EXT;MSP;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","11.0003;13.3917;21.1217;9.1864;3.8993;12.6994;9.1295;7.9977;2.9;7.281;1.393","3.6948;12.9753;12.5643;2.1877;3.649;14.1236;14.7597;13.6469;6.5989;2.8002;12.9996","LQH",0.5,0.794563479718424
"Malachius aeneus",4449367,"Animalia","Arthropoda","Insecta","Coleoptera","Melyridae","Malachius","Malachius_aeneus.csv",0.588373930217248,0.264044327408383,0.3545,0.515853,202,200,"AHM;DD18;DD_0;EMT;EXT;Eref;MWMT;NFFD;PAS;PPT_at;PPT_sm;PPT_sp;RH;SHM;Tave_at;Tave_sp;bFFP","4.4627;7.3689;10.2373;4.0496;3.0963;0.8114;0.4012;0.2561;2.3612;9.0127;14.439;13.8834;0.859;14.6864;5.129;1.0069;7.939","7.1221;12.1838;12.4299;9.0103;3.2727;2.6497;1.075;7.8012;10.5885;2.8367;5.8582;2.2379;1.5508;8.3644;4.2629;0.6505;8.1053","P",0.5,0.80538240917782
"Malaclemys terrapin",2443212,"Animalia","Chordata","Reptilia","Testudines","Emydidae","Malaclemys","Malaclemys_terrapin.csv",0.86127936382257,0.0901047052501156,0.88475,0.49255176,693,391,"AHM;CMD;CMI;DD_0;EXT;Eref;MAP;MSP;MWMT;NFFD;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM","2.7176;0;29.4572;0;0;25.9288;0;0.042;4.0409;0.4915;13.9831;1.3807;17.2953;0;4.6628;0","1.6394;11.8396;3.4332;0;11.4374;24.1072;2.5873;4.9858;3.9696;9.7602;5.087;1.5471;9.9374;0.0079;9.6607;0","P",3,0.904353385966863
"Malacosoma americana",5101728,"Animalia","Arthropoda","Insecta","Lepidoptera","Lasiocampidae","Malacosoma","Malacosoma_americana.csv",0.725887787053882,0.100445497521677,0.80075,0.62298882,3240,3226,"AHM;CMD;CMI;DD_0;EXT;MSP;NFFD;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM","0;11.8941;0;25.8963;0.9355;4.5562;9.3603;0;9.9656;19.2132;18.1788;0;0","0.9956;32.6306;0;33.8066;6.3451;6.7145;0.5827;1.1658;3.3361;8.2552;6.1678;0;0","LQ",1,0.723528641228579
"Malacosoma californica",5101788,"Animalia","Arthropoda","Insecta","Lepidoptera","Lasiocampidae","Malacosoma","Malacosoma_californica.csv",0.708392860829061,0.155418247317914,0.8095,0.47044186,676,671,"AHM;CMD;CMI;DD18;DD_0;EMT;EXT;PAS;PPT_sm;PPT_sp;RH;SHM;Tave_sp;bFFP","10.901;12.4173;3.8912;3.3105;14.9961;3.3423;6.2387;5.7058;8.0854;0.8054;1.1245;17.9574;6.5309;4.6934","6.954;8.3019;0.4868;19.1646;27.3686;0.9437;1.0871;5.3905;2.5559;10.6578;1.8524;7.9247;3.7894;3.5226","H",0.5,0.821906888889838
"Malacosoma disstria",5101763,"Animalia","Arthropoda","Insecta","Lepidoptera","Lasiocampidae","Malacosoma","Malacosoma_disstria.csv",0.763990787213182,0.107695104983042,0.83325,0.58643883,2703,2689,"AHM;CMD;CMI;DD_0;EXT;MSP;MWMT;PAS;PPT_at;PPT_sp;PPT_wt;RH;SHM;bFFP","2.5512;7.1448;5.0886;15.0168;3.7706;0.8445;4.5237;4.2735;13.8652;16.5644;3.0344;0.7946;5.8618;16.6659","2.92;0.803;3.1465;2.5883;1.0681;0.6298;5.8663;11.4179;18.358;6.9917;24.1511;0.0859;0.5319;21.4415","LQHP",1,0.799290051140473
